catchment,site,id,type,rank,total_capacity,production,liquid_capacity,cake_capacity,total_imports
BRADFORD ESHOLT/NO 2 STW,THIRSK/STW,544,STW,1,1.692,0.846,0,0,0
YORK NABURN/STW,THOLTHORPE/STW,545,STW,1,0.02,0.01,0,0,0
BRADFORD ESHOLT/NO 2 STW,THORALBY/STW,546,STW,1,0.032,0.016,0,0,0
YORK NABURN/STW,THORGANBY/STW,547,STW,1,0.012,0.006,0,0,0
BRADFORD ESHOLT/NO 2 STW,THORMANBY/NO 2 STW,548,STW,1,0.03,0.015,0,0,0
HULL/STW,THORNE/STW,549,STF/T,2,4.958,2.479,1,0,2.479
BRADFORD ESHOLT/NO 2 STW,THORNTON LE BEANS/STW,550,STW,1,0.322,0.161,0,0,0
YORK NABURN/STW,THORNTON LE DALE/STW,551,STW,1,0.034,0.017,0,0,0
BRADFORD ESHOLT/NO 2 STW,THORNTON LE STREET/STW,552,STW,1,0.014,0.007,0,0,0
BRADFORD ESHOLT/NO 2 STW,THORNTON STEWARD/STW,553,STW,1,0.004,0.002,0,0,0
BRADFORD ESHOLT/NO 2 STW,THORNTON WATLASS/STW,554,STW,1,0.028,0.014,0,0,0
YORK NABURN/STW,THORP ARCH/STW,555,STW,1,1.532,0.766,0,0,0
YORK NABURN/STW,THORPE WILLOUGHBY/STW,556,STW,1,0.01,0.005,0,0,0
BRADFORD ESHOLT/NO 2 STW,THWAITE/STW,557,STW,1,0.074,0.037,0,0,0
HULL/STW,TIBTHORPE/STW,558,STW,1,0.008,0.004,0,0,0
BRADFORD ESHOLT/NO 2 STW,TIMBLE/STW,559,STW,1,0.002,0.001,0,0,0
BRADFORD ESHOLT/NO 2 STW,TOCKWITH/STW,560,STW,1,0.256,0.128,0,0,0
YORK NABURN/STW,TOLLERTON/STW,561,STW,1,0.246,0.123,0,0,0
HULL/STW,TOPHILL LOW/WTW STW,562,STW,1,0.004,0.002,0,0,0
KNOSTROP/STW,TOWTON/STW,563,STW,1,0.028,0.014,0,0,0
OLD WHITTINGTON/STW,TROWAY/STW,564,STW,1,0.002,0.001,0,0,0
BRADFORD ESHOLT/NO 2 STW,TUNSTALL/STW,565,STW,1,0.036,0.018,0,0,0
BLACKBURN MEADOWS/STW,TUPTON/STW,566,STW,1,1.406,0.703,0,0,0
YORK NABURN/STW,UGTHORPE/STW,567,STW,1,0.02,0.01,0,0,0
DEWSBURY/STW,UPPER DENBY/STW,568,STW,1,0.002,0.001,0,0,0
BRADFORD ESHOLT/NO 2 STW,UPSALL/STW,569,STW,1,0.002,0.001,0,0,0
KNOSTROP/STW,UPTON WRANGBROOK/STW,570,STW,1,0.926,0.463,0,0,0
OLD WHITTINGTON/STW,WADSHELF/STW,571,STW,1,0.026,0.013,0,0,0
HULL/STW,WANSFORD/NO 2 STW,572,STW,1,0.012,0.006,0,0,0
YORK NABURN/STW,WARTHILL/STW,573,STW,1,0.022,0.011,0,0,0
YORK NABURN/STW,WASS/NO 2 STW,574,STW,1,0.018,0.009,0,0,0
HUDDERSFIELD/NO 2 STF,WATERGATE/STW,575,STW,1,0.004,0.002,0,0,0
BRADFORD ESHOLT/NO 2 STW,WATH BRIDGE/STW,576,STW,1,0.008,0.004,0,0,0
ALDWARKE/STW,WATH ON DEARNE/STW,577,STF/T,2,2.728,1.364,1,0,1.364
BRADFORD ESHOLT/NO 2 STW,WATH RIPON/STW,578,STW,1,0.088,0.044,0,0,0
HULL/STW,WATTON/STW,579,STW,1,0.328,0.164,0,0,0
BRADFORD ESHOLT/NO 2 STW,WEARDLEY/STW,580,STW,1,0.004,0.002,0,0,0
YORK NABURN/STW,WEAVERTHORPE/STW,581,STW,1,0.044,0.022,0,0,0
HULL/STW,WEEL/STW,582,STW,1,0.004,0.002,0,0,0
KNOSTROP/STW,WEETON/STW,583,STW,1,0.152,0.076,0,0,0
YORK NABURN/STW,WELBURN/STW,584,STW,1,0.068,0.034,0,0,0
HUDDERSFIELD/NO 2 STF,WELLHOUSE/STW,585,STW,1,0.004,0.002,0,0,0
HULL/STW,WELLS COTTAGE/STW,586,STW,1,0.02,0.01,0,0,0
HULL/STW,WELWICK NO 1/STW,587,STW,1,0.004,0.002,0,0,0
HULL/STW,WELWICK NO 2/STW,588,STW,1,0.016,0.008,0,0,0
BRADFORD ESHOLT/NO 2 STW,WENSLEY/STW,589,STW,1,0.018,0.009,0,0,0
LUNDWOOD/STW,WENTWORTH CASTLE/STW,590,STW,1,0.034,0.017,0,0,0
KNOSTROP/STW,WENTWORTH/STW,591,STW,1,0.06,0.03,0,0,0
DEWSBURY/STW,WEST BRETTON/NO 2 STW,592,STW,1,0.056,0.028,0,0,0
BRADFORD ESHOLT/NO 2 STW,WEST BURTON/STW,593,STW,1,0.04,0.02,0,0,0
KNOSTROP/STW,WEST HADDLESEY/STW,594,STW,1,0.024,0.012,0,0,0
OLD WHITTINGTON/STW,WEST HANDLEY/STW,595,STW,1,0.016,0.008,0,0,0
YORK NABURN/STW,WEST LUTTON/STW,596,STW,1,0.03,0.015,0,0,0
BRADFORD ESHOLT/NO 2 STW,WEST ROUNTON/STW,597,STW,1,0.09,0.045,0,0,0
BRADFORD ESHOLT/NO 2 STW,WEST TANFIELD/STW,598,STW,1,0.104,0.052,0,0,0
BRADFORD ESHOLT/NO 2 STW,WEST WITTON/STW,599,STW,1,0.062,0.031,0,0,0
YORK NABURN/STW,WESTERDALE/STW,600,STW,1,0.006,0.003,0,0,0
YORK NABURN/STW,WESTOW/STW,601,STW,1,0.04,0.02,0,0,0
KNOSTROP/STW,WETHERBY/STW,602,STW,1,3.354,1.677,0,0,0
HULL/STW,WETWANG/STW,603,STW,1,0.106,0.053,0,0,0
BLACKBURN MEADOWS/STW,WHARNCLIFFE SIDE/STW,604,STW,1,0.2,0.1,0,0,0
BRADFORD ESHOLT/NO 2 STW,WHASHTON/STW,605,STW,1,0.016,0.008,0,0,0
YORK NABURN/STW,WHELDRAKE/STW,606,STW,1,0.298,0.149,0,0,0
YORK NABURN/STW,WHENBY/NO 2 STW,607,STW,1,0.004,0.002,0,0,0
YORK NABURN/STW,WHITBY/STW,608,STF/D,3,4.335505295,1.417,4,0,2.918505295
BLACKBURN MEADOWS/STW,WHITLEY/STW,609,STW,1,0.006,0.003,0,0,0
YORK NABURN/STW,WILBERFOSS/STW,610,STW,1,0.428,0.214,0,0,0
OLD WHITTINGTON/STW,WILLIAMTHORPE/STW,611,STF/T,2,0.514,0.257,1,0,0.257
YORK NABURN/STW,WISTOW/STW,612,STW,1,0.162,0.081,0,0,0
HULL/STW,WITHERNSEA/STW,613,STF/T,2,1.236,0.618,1,0,0.618
HULL/STW,WITHERNWICK/STW,614,STW,1,0.07,0.035,0,0,0
KNOSTROP/STW,WOMBWELL/STW,615,STF/D,3,7.368496223,3.432,2,0,3.936496223
BLACKBURN MEADOWS/STW,WOODALL/STW,616,STW,1,0.036,0.018,0,0,0
WOODHOUSE MILL/NO 2 STW,WOODHOUSE MILL/NO 2 STW,617,STC,4,14.5,9.659,1.55,0,4.841
CALDER VALE/STW,WOOLLEY VILLAGE/STW,618,STW,1,0.056,0.028,0,0,0
ALDWARKE/STW,WORSBROUGH/STW,619,STF/T,2,2.656,1.328,1,0,1.328
LUNDWOOD/STW,WORTLEY EAST/STW,620,STW,1,0.02,0.01,0,0,0
LUNDWOOD/STW,WORTLEY WEST/STW,621,STW,1,0.012,0.006,0,0,0
BRADFORD ESHOLT/NO 2 STW,WORTON/STW,622,STW,1,0.01,0.005,0,0,0
CALDER VALE/STW,WRAGBY/STW,623,STW,1,0.012,0.006,0,0,0
YORK NABURN/STW,YEARSLEY/STW,624,STW,1,0.01,0.005,0,0,0
YORK NABURN/STW,YORK NABURN/STW,625,STC,4,30,10.635,12.4,9.9,19.365
3rd Party,NORTHUMBRIAN WATER,626,TP,5,500,0,0,50,500
3rd Party,ANGLIAN WATER,627,TP,5,500,0,0,50,500
3rd Party,SEVERN TRENT,628,TP,5,500,0,0,50,500
