catchment,site,id,type,rank,total_capacity,production,liquid_capacity,cake_capacity,total_imports
YORK NABURN/STW,LITTLE BARUGH/STW,354,STW,1,0.006,0.003,0,0,0
HUDDERSFIELD/NO 2 STF,LITTLE LEPTON/STW,355,STW,1,0.004,0.002,0,0,0
HUDDERSFIELD/NO 2 STF,LIVERSEDGE CEMETERY/2 STW,356,STW,1,0.02,0.01,0,0,0
HULL/STW,LOCKINGTON/STW,357,STW,1,0.136,0.068,0,0,0
YORK NABURN/STW,LOCKTON/STW,358,STW,1,0.004,0.002,0,0,0
BRADFORD ESHOLT/NO 2 STW,LOFTHOUSE/STW,359,STW,1,0.02,0.01,0,0,0
BLACKBURN MEADOWS/STW,LONG LANE/STW,360,STF/T,2,3.14,1.57,1,0,1.57
BRADFORD ESHOLT/NO 2 STW,LONG MARSTON/STW,361,STW,1,0.074,0.037,0,0,0
HULL/STW,LONG RISTON NORTH/STW,362,STW,1,0.104,0.052,0,0,0
BRADFORD ESHOLT/NO 2 STW,LOTHERSDALE/STW,363,STW,1,0.044,0.022,0,0,0
BRADFORD ESHOLT/NO 2 STW,LOVESOME HILL/STW,364,STW,1,0.02,0.01,0,0,0
KNOSTROP/STW,LOW COMMON/STW,365,STW,1,0.01,0.005,0,0,0
LUNDWOOD/STW,LUNDWOOD/STW,366,STC,4,12,5.666,3.1,0,6.334
BRADFORD ESHOLT/NO 2 STW,MALHAM/NO 2 STW,367,STW,1,0.032,0.016,0,0,0
YORK NABURN/STW,MALTON/STW,368,STF/T,2,6.96,1.62,4,0,5.34
HULL/STW,MANOR HOUSE/STW,369,STW,1,0.02,0.01,0,0,0
YORK NABURN/STW,MARKET WEIGHTON/NO 2 STW,370,STF/T,2,1.04,0.52,1,0,0.52
BRADFORD ESHOLT/NO 2 STW,MARKINGTON/STW,371,STW,1,0.084,0.042,0,0,0
BRADFORD ESHOLT/NO 2 STW,MARSKE/STW,372,STW,1,0.006,0.003,0,0,0
BRADFORD ESHOLT/NO 2 STW,MARTON LE MOOR/STW,373,STW,1,0.026,0.013,0,0,0
YORK NABURN/STW,MARTON/STW,374,STW,1,0.008,0.004,0,0,0
BRADFORD ESHOLT/NO 2 STW,MASHAM/STW,375,STW,1,0.398,0.199,0,0,0
BRADFORD ESHOLT/NO 2 STW,MAUNBY/STW,376,STW,1,0.12,0.06,0,0,0
YORK NABURN/STW,MELBOURNE/STW,377,STW,1,0.378,0.189,0,0,0
HUDDERSFIELD/NO 2 STF,MELTHAM/STW,378,STW,1,1.116,0.558,0,0,0
SANDALL/STW,MELTON COLLEGE/STW,379,STW,1,0.562,0.281,0,0,0
HULL/STW,MELTON/STW,380,STW,1,1.734,0.867,0,0,0
ALDWARKE/STW,MEXBORO SWINTON/STW,381,STF/T,2,2.482,1.241,1,0,1.241
YORK NABURN/STW,MICKLEBY/STW,382,STW,1,0.018,0.009,0,0,0
KNOSTROP/STW,MICKLEFIELD/NO 2 STW,383,STW,1,0.276,0.138,0,0,0
BRADFORD ESHOLT/NO 2 STW,MIDDLESMOOR/STW,384,STW,1,0.012,0.006,0,0,0
BRADFORD ESHOLT/NO 2 STW,MIDDLETON QUERNHOW/STW,385,STW,1,0.002,0.001,0,0,0
BRADFORD ESHOLT/NO 2 STW,MIDDLETON TYAS/NO 2 STW,386,STW,1,0.09,0.045,0,0,0
HULL/STW,MIDDLETON WOLDS/STW,387,STW,1,0.11,0.055,0,0,0
LUNDWOOD/STW,MIDHOPESTONES/STW,388,STW,1,0.002,0.001,0,0,0
LUNDWOOD/STW,MONKTON COLLIERY/NO 2 STW,389,STW,1,0.002,0.001,0,0,0
YORK NABURN/STW,MOOR MONKTON/STW,390,STW,1,0.002,0.001,0,0,0
BRADFORD ESHOLT/NO 2 STW,MOORCOCK INN/STW,391,STW,1,0.108,0.054,0,0,0
BRADFORD ESHOLT/NO 2 STW,MORTON ON SWALE/STW,392,STW,1,0.014,0.007,0,0,0
BRADFORD ESHOLT/NO 2 STW,MOULTON/STW,393,STW,1,0.014,0.007,0,0,0
BRADFORD ESHOLT/NO 2 STW,MUKER/NO 2 STW,394,STW,1,0.016,0.008,0,0,0
BRADFORD ESHOLT/NO 2 STW,MYTON ON SWALE/NO 2 STW,395,STW,1,0.01,0.005,0,0,0
HULL/STW,NAFFERTON/STW,396,STW,1,0.36,0.18,0,0,0
HUDDERSFIELD/NO 2 STF,NEILEY/STW,397,STF/D,3,3.38076921,2.733,0,0,0
BRADFORD ESHOLT/NO 2 STW,NESFIELD/STW,398,STW,1,0.002,0.001,0,0,0
BRADFORD ESHOLT/NO 2 STW,NETHER SILTON/STW,399,STW,1,0.008,0.004,0,0,0
HULL/STW,NEW ELLERBY/STW,400,STW,1,0.026,0.013,0,0,0
YORK NABURN/STW,NEWHOLM/STW,401,STW,1,0.016,0.008,0,0,0
BRADFORD ESHOLT/NO 2 STW,NEWSHAM/STW,402,STW,1,0.04,0.02,0,0,0
BRADFORD ESHOLT/NO 2 STW,NEWTON LE WILLOWS/STW,403,STW,1,0.076,0.038,0,0,0
YORK NABURN/STW,NEWTON RAWCLIFFE/STW,404,STW,1,0.02,0.01,0,0,0
LUNDWOOD/STW,NORCROFT/STW,405,STW,1,0.004,0.002,0,0,0
KNOSTROP/STW,NORMANTON/STW,406,STW,1,6.068,3.034,0,0,0
BRADFORD ESHOLT/NO 2 STW,NORTH COWTON/STW,407,STW,1,0.064,0.032,0,0,0
HULL/STW,NORTH DALTON/STW,408,STW,1,0.044,0.022,0,0,0
BRADFORD ESHOLT/NO 2 STW,NORTH DEIGHTON/STW,409,STW,1,0.218,0.109,0,0,0
YORK NABURN/STW,NORTH DUFFIELD/STW,410,STW,1,0.22,0.11,0,0,0
HULL/STW,NORTH FERRIBY/STW,411,STW,1,0.866,0.433,0,0,0
BRADFORD ESHOLT/NO 2 STW,NORTH STAINLEY/STW,412,STW,1,0.088,0.044,0,0,0
BRADFORD ESHOLT/NO 2 STW,NORTHALLERTON/STW,413,STF/T,2,3.648,0.894,4,0,2.754
BRADFORD ESHOLT/NO 2 STW,NORTON LE CLAY/STW,414,STW,1,0.006,0.003,0,0,0
SANDALL/STW,NORTON/NO 2 STW,415,STW,1,1.322,0.661,0,0,0
CALDER VALE/STW,NOTTON RAILWAY/STW,416,STW,1,0.004,0.002,0,0,0
CALDER VALE/STW,NOTTON VILLAGE/STW,417,STW,1,0.124,0.062,0,0,0
BRADFORD ESHOLT/NO 2 STW,NUN MONKTON/STW,418,STW,1,0.06,0.03,0,0,0
HULL/STW,NUNBURNHOLME/NO 3 STW,419,STW,1,0.008,0.004,0,0,0
HULL/STW,OAK COTTAGE/STW,420,STW,1,0.02,0.01,0,0,0
